machine	subject	start_time	end_time	stim	block	correct	latency	fluent	learning
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:16.241	2013-10-15 09:18:16.701000	MARKET(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:16.711	2013-10-15 09:18:16.851000	TO(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:16.861	2013-10-15 09:18:17.271000	BUY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:17.281	2013-10-15 09:18:17.971000	HER(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:22.581	2013-10-15 09:18:22.731000	THE(2)	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:23.321	2013-10-15 09:18:24.001000	ONLY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:25.001	2013-10-15 09:18:25.341000	ONE(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:25.791	2013-10-15 09:18:26.131000	BUT	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:26.141	2013-10-15 09:18:26.391000	THEY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:26.401	2013-10-15 09:18:26.901000	ADD	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:26.911	2013-10-15 09:18:27.091000	A(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:27.101	2013-10-15 09:18:27.541000	LOT	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:27.551	2013-10-15 09:18:27.711000	OF	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:28.041	2013-10-15 09:18:28.271000	TO(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:28.281	2013-10-15 09:18:28.451000	THE(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:28.461	2013-10-15 09:18:29.001000	GARDEN	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:31.211	2013-10-15 09:18:31.771000	DANA	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:31.781	2013-10-15 09:18:32.131000	GOT	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:32.141	2013-10-15 09:18:32.361000	UP	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:32.741	2013-10-15 09:18:33.201000	MORNING	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:33.211	2013-10-15 09:18:33.591000	VERY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:33.721	2013-10-15 09:18:34.251000	EARLY	block	1	0.1300	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:37.781	2013-10-15 09:18:38.111000	SHE	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:38.551	2013-10-15 09:18:38.811000	TO(3)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:38.821	2013-10-15 09:18:39.311000	GET(2)	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:39.321	2013-10-15 09:18:39.511000	TO(3)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:39.521	2013-10-15 09:18:39.661000	THE	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:40.051	2013-10-15 09:18:40.441000	EARLY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:40.451	2013-10-15 09:18:40.621000	SO	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:40.631	2013-10-15 09:18:41.001000	SHE	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:41.101	2013-10-15 09:18:41.351000	WOULD	block	1	0.1000	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:41.701	2013-10-15 09:18:42.121000	HAVE	block	1	0.3500	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:42.131	2013-10-15 09:18:42.811000	TIME	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:42.821	2013-10-15 09:18:43.241000	TO(3)	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:44.141	2013-10-15 09:18:45.321000	EVERYTHING	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:45.681	2013-10-15 09:18:46.011000	SHE	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:46.021	2013-10-15 09:18:46.331000	GOT	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:46.341	2013-10-15 09:18:46.781000	HOME	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:49.131	2013-10-15 09:18:49.391000	SHE	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:49.401	2013-10-15 09:18:49.791000	WENT	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:50.411	2013-10-15 09:18:50.831000	TO(3)	block	1	0.6200	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:51.881	2013-10-15 09:18:52.621000	FLOWER	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:55.341	2013-10-15 09:18:55.651000	SHE	block	1	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:18:57.471	2013-10-15 09:18:58.391000	FRIENDS	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:00.391	2013-10-15 09:19:00.591000	HI	block	1	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:00.601	2013-10-15 09:19:01.141000	DANA	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:01.151	2013-10-15 09:19:01.501000	OUT	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:02.351	2013-10-15 09:19:02.651000	THEY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:03.711	2013-10-15 09:19:03.841000	TO(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:03.851	2013-10-15 09:19:04.101000	HER(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:09.601	2013-10-15 09:19:09.961000	SAID	block	1	0.5300	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:09.971	2013-10-15 09:19:10.481000	DANA	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:12.281	2013-10-15 09:19:12.441000	A(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:12.451	2013-10-15 09:19:12.701000	BIG	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:19.222	2013-10-15 09:19:19.682000	AROUND	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:19.692	2013-10-15 09:19:20.362000	TOGETHER	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:22.322	2013-10-15 09:19:22.582000	DANA	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:22.592	2013-10-15 09:19:22.892000	AND	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:22.902	2013-10-15 09:19:23.052000	HER(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:34.842	2013-10-15 09:19:35.372000	AND	block	1	0.0800	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:41.352	2013-10-15 09:19:41.692000	SO	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:42.052	2013-10-15 09:19:42.462000	MANY	block	1	0.3600	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:44.102	2013-10-15 09:19:45.172000	FLOWERS	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:50.642	2013-10-15 09:19:51.132000	DANA	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:53.852	2013-10-15 09:19:54.152000	THEM(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:54.162	2013-10-15 09:19:54.642000	ALL	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:57.452	2013-10-15 09:19:57.802000	DANA	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:58.322	2013-10-15 09:19:58.422000	TO(3)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:58.432	2013-10-15 09:19:58.602000	BUY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:59.072	2013-10-15 09:19:59.232000	AND(2)	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:19:59.242	2013-10-15 09:19:59.612000	PINK	block	1	0.0100	2	1
